hour_start_ct,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
2023-07-03T22:00:00-05:00,29.33,29.14,28.74,33.35
2023-07-03T23:00:00-05:00,25.47,25.24,25.34,28.88
2023-07-04T00:00:00-05:00,20.85,20.62,20.7,23.5
2023-07-04T01:00:00-05:00,18.7,18.44,18.72,21.5
2023-07-04T02:00:00-05:00,17.52,17.25,17.6,20.66
2023-07-04T03:00:00-05:00,17.15,16.9,17.27,19.68
2023-07-04T04:00:00-05:00,17.02,16.77,17.19,19.69
2023-07-04T05:00:00-05:00,17.15,16.91,17.31,19.62
2023-07-04T06:00:00-05:00,17.02,16.8,17.17,19.09
2023-07-04T07:00:00-05:00,17.04,16.92,17.12,18.15
2023-07-04T08:00:00-05:00,16.2,16.2,16.21,16.2
2023-07-04T09:00:00-05:00,17.01,17.02,17.05,17.02
2023-07-04T10:00:00-05:00,19.11,19.12,19.27,19.13
2023-07-04T11:00:00-05:00,25.84,23.56,24.54,23.69
2023-07-04T12:00:00-05:00,29.51,26.83,28.08,27.01
2023-07-04T13:00:00-05:00,32.65,30.1,31.23,30.24
2023-07-04T14:00:00-05:00,43.06,40.17,40.68,40.17
2023-07-04T15:00:00-05:00,48.01,45.69,46.39,45.6
2023-07-04T16:00:00-05:00,51.78,49.45,50.47,49.43
2023-07-04T17:00:00-05:00,43.85,40.94,36.23,40.81
2023-07-04T18:00:00-05:00,39.13,38.05,30.0,38.44
2023-07-04T19:00:00-05:00,37.79,37.42,30.01,39.19
2023-07-04T20:00:00-05:00,34.23,34.01,29.43,36.88
2023-07-04T21:00:00-05:00,26.11,25.64,24.9,29.15
2023-07-04T22:00:00-05:00,22.94,22.22,22.67,25.92
